   1.008809e+00   9.857681e-01   8.946981e-01
   3.890852e+00   1.818948e+00   1.353984e+00
   1.012841e-02   1.995358e-02   1.520957e-01
   2.366462e-01   1.137403e-01   3.033243e-02
   1.388623e+00   1.376074e+00   1.208017e+00
   6.140962e-01   2.354532e-01  -4.070457e-02
   9.038467e+00   8.250771e+00   8.303531e+00
   1.500689e+01   1.339170e+01   1.183621e+01
   2.243653e+00   2.402881e+00   2.385500e+00
   2.721024e+00   2.311148e+00   2.333383e+00
   4.480156e-01   4.365816e-01   4.053798e-01
   4.947418e-01   5.122453e-01   4.949041e-01
  -1.321080e+00  -1.831608e+00  -2.348645e+00
   1.674435e+00   1.610893e+00   1.844276e+00
   3.186377e-01   5.592797e-01   1.852186e+00
   6.605063e-01   5.373567e-01   2.683989e-01
   7.811399e-01   4.188074e+00   4.217866e+00
   2.400542e+00   2.407172e+00   2.393336e+00
   1.820672e+00   2.225611e+00   2.270251e+00
   4.021469e-01   4.268355e-01   4.149842e-01
   1.419685e+00   1.271082e+00   1.163361e+00
   1.184669e+00   1.081772e+00   1.034368e+00
   1.300393e+02   1.403025e+02   1.231102e+02
   5.877387e-01   5.784649e-01   6.162169e-01
   3.055383e+00   2.088053e+00   1.760821e+00
   4.267583e-01   3.889956e-01   3.800338e-01
   2.077822e-03   2.135522e-04   1.409792e-04
   1.242597e+00   1.058413e+00   1.028271e+00
   4.177786e+00   3.985946e+00   4.349164e+00
   8.137765e+00   8.279551e+00   1.677991e+01
   3.772729e+00   3.953039e+00   1.023193e+01
   3.721585e-01   3.123294e-01   3.494324e-01
